"","IDs","Passagers","Jour","Heure","nb","prix_moyen"
"1",19,1,NA,NA,1,0.0768595041322314
"2",20,1,NA,NA,2,0.153719008264463
"3",44,1,NA,NA,2,1.48333333333333
"4",47,3,NA,NA,2,0.0985401459854015
"5",61,1,NA,NA,1,0.320754716981132
"6",62,1,NA,NA,2,0.641509433962264
"7",63,1,NA,NA,2,0.576923076923077
"8",90,1,NA,NA,2,0.510769230769231
"9",95,1,NA,NA,2,0.891024734982332
"10",98,1,NA,NA,3,1.30741935483871
"11",103,1,NA,NA,2,0.479872204472843
"12",109,1,NA,NA,6,0.558582236883152
"13",111,6,NA,NA,2,0.00332963374028857
"14",112,1,NA,NA,2,0.770742358078603
"15",125,1,NA,NA,2,0.0134715025906736
"16",125,3,NA,NA,2,0.0146953405017921
"17",126,1,NA,NA,2,0.15531914893617
"18",128,5,NA,NA,2,1.25301587301587
"19",135,1,NA,NA,2,0.609865470852018
"20",145,1,NA,NA,2,0.275524475524476
"21",146,1,NA,NA,2,0.677272727272727
"22",146,5,NA,NA,2,0.414632352941176
"23",147,1,NA,NA,2,0.344
"24",148,1,NA,NA,1,0.172
"25",150,1,NA,NA,4,0.400638009049774
"26",151,1,NA,NA,2,0.886666666666667
"27",152,2,NA,NA,2,1.62
"28",154,1,NA,NA,6,0.451767916290274
"29",158,1,NA,NA,2,0.10703125
"30",161,1,NA,NA,3,0.714285714285714
"31",163,1,NA,NA,1,0.276897810218978
"32",164,1,NA,NA,3,0.155494359654944
"33",165,1,NA,NA,1,0.0170454545454545
"34",169,2,NA,NA,1,0.619195046439629
"35",170,2,NA,NA,1,0.619195046439629
"36",171,3,NA,NA,1,0.288773006134969
"37",172,3,NA,NA,1,0.288773006134969
"38",174,1,NA,NA,1,0.447827298050139
"39",175,1,NA,NA,1,0.447827298050139
"40",176,1,NA,NA,2,0.555555555555556
"41",177,1,NA,NA,1,0.277777777777778
"42",181,1,NA,NA,2,0.481241379310345
"43",182,1,NA,NA,3,1.32325301204819
"44",184,1,NA,NA,3,0.838810198300283
"45",189,1,NA,NA,2,1.41456953642384
"46",193,1,NA,NA,4,0.539499058380414
"47",194,1,NA,NA,3,0.455202406227884
